"","Player","BREF","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1","Andre Miller","https://www.basketball-reference.com/players/m/millean02.html",407,35.551597051597,5.3014742014742,11.8184275184275,0.449400491400491,0.199262899262899,0.917199017199017,0.214110565110565,5.1022113022113,10.9208845208845,0.467764127764128,0.457572481572482,4.05970515970516,4.91867321867322,0.823152334152334,1.24054054054054,3.04004914004914,4.34078624078624,7.71719901719902,1.5012285012285,0.24029484029484,2.82063882063882,2.6,14.8621621621622
"2","Andrei Kirilenko","https://www.basketball-reference.com/players/k/kirilan01.html",350,32.024,4.44428571428571,9.56914285714286,0.46482,0.554,1.73828571428571,0.303928571428571,3.90514285714286,7.86485714285714,0.498945714285714,0.49202,4.35142857142857,5.68942857142857,0.768488571428571,2.19057142857143,4.25457142857143,6.468,2.55971428571429,1.57742857142857,2.58942857142857,2.14657142857143,2.20742857142857,13.7705714285714
"3","Baron Davis","https://www.basketball-reference.com/players/d/davisba01.html",245,36.6265306122449,7.04897959183674,16.9840816326531,0.413922448979592,1.92938775510204,6.04571428571429,0.320604081632653,5.0865306122449,10.9497959183673,0.462959183673469,0.471281632653061,3.98857142857143,5.44285714285714,0.734297959183673,0.918367346938776,3.45142857142857,4.39183673469388,8.06571428571429,1.9930612244898,0.422448979591837,2.90489795918367,2.94326530612245,20.0273469387755
"4","Calvin Booth","https://www.basketball-reference.com/players/b/boothca01.html",136,16.8345588235294,2.16544117647059,4.65955882352941,0.457595588235294,0,0,0,2.16544117647059,4.65955882352941,0.457595588235294,0.457595588235294,1.02132352941176,1.41397058823529,0.720433823529412,1.38161764705882,2.86397058823529,4.275,0.813235294117647,0.476470588235294,1.82205882352941,0.952205882352941,2.68823529411765,5.28529411764706
"5","Corey Maggette","https://www.basketball-reference.com/players/m/maggeco01.html",316,34.1579113924051,5.89841772151899,13.2389240506329,0.447553797468354,0.770253164556962,2.34018987341772,0.306256329113924,5.15917721518987,10.8987341772152,0.47303164556962,0.475541139240506,7.49462025316456,9.00474683544304,0.83323417721519,1.1496835443038,4.64398734177215,5.79367088607595,2.90158227848101,0.933544303797468,0.146835443037975,2.77753164556962,3.0503164556962,20.1278481012658
"6","Devean George","https://www.basketball-reference.com/players/g/georgde01.html",321,22.3457943925234,2.58006230529595,6.51028037383178,0.400585669781931,0.783800623052959,2.2607476635514,0.352130841121495,1.79626168224299,4.25420560747664,0.426221183800623,0.460953271028037,0.974454828660436,1.34766355140187,0.725433021806854,1.13146417445483,2.77663551401869,3.87788161993769,1.26604361370717,0.884735202492212,0.481308411214953,0.898753894080997,2.31277258566978,6.96479750778816
"7","Dion Glover","https://www.basketball-reference.com/players/g/glovedi01.html",312,22.6977564102564,3.33269230769231,8.16602564102564,0.410134615384615,0.551282051282051,1.66826923076923,0.314983974358974,2.80352564102564,6.49775641025641,0.431641025641026,0.442733974358974,1.53557692307692,2.03269230769231,0.755519230769231,0.799358974358974,2.66698717948718,3.48846153846154,1.73685897435897,0.802884615384615,0.257371794871795,1.34839743589744,1.77019230769231,8.78044871794872
"8","Elton Brand","https://www.basketball-reference.com/players/b/brandel01.html",371,38.5425876010782,8.01563342318059,15.5579514824798,0.5125525606469,0,0,0.286541778975741,8.01563342318059,15.5366576819407,0.51255525606469,0.5125525606469,4.89137466307278,6.47843665768194,0.751547169811321,3.67385444743935,6.39919137466307,10.0129380053908,2.77816711590296,0.9544474393531,2.2921832884097,2.46495956873315,3.08463611859838,20.8579514824798
"9","James Posey","https://www.basketball-reference.com/players/p/poseyja01.html",321,30.303738317757,3.92242990654206,9.4006230529595,0.422255451713396,0.991588785046729,3.05202492211838,0.322249221183801,2.9386292834891,6.3,0.471510903426791,0.475897196261682,2.6595015576324,3.23084112149533,0.822651090342679,1.18598130841121,4.04517133956386,5.23115264797508,2.08722741433022,1.46261682242991,0.344859813084112,1.62118380062305,2.70218068535826,11.5040498442368
"10","Jason Terry","https://www.basketball-reference.com/players/t/terryja01.html",402,36.2057213930348,6.18258706467662,14.1072139303483,0.442330845771144,1.75721393034826,4.6136815920398,0.383915422885572,4.42537313432836,9.47313432835821,0.471703980099503,0.505218905472637,3.00024875621891,3.5592039800995,0.847900497512438,0.520149253731343,2.82164179104478,3.3410447761194,5.7592039800995,1.51766169154229,0.179601990049751,2.58482587064677,2.26268656716418,17.081592039801
"11","Jeff Foster","https://www.basketball-reference.com/players/f/fosteje01.html",358,24.4684357541899,2.32988826815642,4.3804469273743,0.52672625698324,0,0.0346368715083799,0,2.32988826815642,4.34581005586592,0.532326815642458,0.52672625698324,1.26340782122905,2.0108938547486,0.628966480446927,3.34357541899441,5.06759776536313,8.39804469273743,0.976536312849162,0.783798882681564,0.363966480446927,0.850279329608939,2.75530726256983,5.90558659217877
"12","Jumaine Jones","https://www.basketball-reference.com/players/j/jonesju01.html",355,24.3430985915493,3.20647887323944,7.52704225352113,0.41990985915493,1.08732394366197,3.14619718309859,0.342546478873239,2.09774647887324,4.36901408450704,0.471560563380282,0.493946478873239,0.736901408450704,1.02366197183099,0.690478873239437,1.3056338028169,3.5630985915493,4.86985915492958,1.0343661971831,0.742253521126761,0.356619718309859,0.922816901408451,2.17830985915493,8.23746478873239
"13","Kenny Thomas","https://www.basketball-reference.com/players/t/thomake01.html",266,31.6966165413534,4.84511278195489,10.3082706766917,0.471473684210526,0,0.0729323308270677,0.154699248120301,4.84511278195489,10.2353383458647,0.472751879699248,0.471924812030075,2.65563909774436,3.49774436090226,0.759593984962406,2.8781954887218,5.42142857142857,8.29962406015038,1.83646616541353,0.982706766917293,0.309398496240602,1.9218045112782,2.98383458646617,12.3642857142857
"14","Lamar Odom","https://www.basketball-reference.com/players/o/odomla01.html",357,38.2809523809524,5.70252100840336,12.0635854341737,0.475588235294118,0.75406162464986,2.3515406162465,0.311042016806723,4.96638655462185,9.73361344537815,0.51363025210084,0.505770308123249,3.33837535014006,4.72128851540616,0.705843137254902,2.18319327731092,7.73249299719888,9.88739495798319,4.32240896358543,0.930532212885154,0.848459383753501,2.61176470588235,3.21372549019608,15.4302521008403
"15","Metta World Peace","https://www.basketball-reference.com/players/a/artesro01.html",189,38.8560846560847,6.43068783068783,15.3375661375661,0.421037037037037,1.34391534391534,4.13862433862434,0.331216931216931,5.08677248677249,11.1619047619048,0.454444444444444,0.465275132275132,4.06190476190476,5.67248677248677,0.711777777777778,1.37089947089947,4.3,5.67089947089947,3.51587301587302,2.13597883597884,0.691534391534391,2.24232804232804,2.94973544973545,18.3079365079365
"16","Richard Hamilton","https://www.basketball-reference.com/players/h/hamilri01.html",370,35.7145945945946,7.21756756756757,15.48,0.466532432432432,0.731891891891892,1.89378378378378,0.383056756756757,6.48702702702703,13.5681081081081,0.477937837837838,0.489810810810811,3.71378378378378,4.37594594594595,0.849121621621622,0.967297297297297,2.50162162162162,3.46675675675676,4.12594594594595,0.822162162162162,0.162432432432432,2.20945945945946,2.76513513513513,18.8808108108108
"17","Scott Padgett","https://www.basketball-reference.com/players/p/padgesc01.html",343,14.0696793002915,1.75597667638484,4.14431486880467,0.419912536443149,0.637609329446064,1.62361516034985,0.387696793002915,1.13440233236152,2.51486880466472,0.439110787172012,0.499912536443149,0.67463556851312,0.924198250728863,0.751536443148688,0.999708454810496,2.05276967930029,3.05247813411079,0.827696793002915,0.471137026239067,0.223906705539359,0.63002915451895,1.68309037900875,4.82536443148688
